position_loss,velocity_loss,steering_loss,acceleration_loss,object_distance_loss,traffic_light_detected_loss,total_loss
-72.04351654052735,-64.0242947048611,-38.68959070841471,-15.10367685953776,0.006957316771149635,0.01690387438154883,-189.83721618652345
-71.82498355441624,-63.499529690212675,-38.84849264356825,-15.50214712354872,0.006877410794711775,0.01667279286517037,-189.65160149468315
-72.78965369330513,-64.250146484375,-39.015217844645186,-15.34431881374783,0.006905424832883808,0.016585099407368235,-191.37584398057726
-73.46534932454428,-63.9853264702691,-38.93995140923394,-15.339428456624349,0.006848455406725407,0.016446857009496954,-191.70675862630208
-72.54971364339193,-63.51893768310547,-39.45254431830512,-15.520845243665907,0.006716640790303549,0.0170876897043652,-191.01823391384548
-72.26894590589735,-63.78629286024306,-39.23133799235026,-15.109671359592014,0.0070182968344953325,0.016408122392992178,-190.37282274034288
-72.07102796766493,-63.76052610609266,-39.16497963799371,-15.000904676649306,0.006817893870174885,0.016351567291551166,-189.974269273546
-72.60036400689019,-64.02618882921007,-39.03296245998806,-15.27975402408176,0.006766032334417105,0.016377693807913197,-190.91612650553387
-72.86876305474175,-64.35870107014973,-39.01885774400499,-15.438141441345214,0.006768765631649229,0.016372212457160154,-191.66132473415797
-72.65023685031467,-63.981329600016274,-39.56123309665256,-15.403363355000813,0.006679774541407823,0.016438672153486145,-191.5730448404948
-73.44861789279514,-64.0930541144477,-39.39903530544705,-15.561627048916288,0.006676618371986681,0.016103684529662134,-192.47955763075086
-72.03854353162977,-64.10648261176215,-39.59799372355143,-15.875304349263509,0.00660313211588396,0.01612661187019613,-191.59559427897136
-72.6589599609375,-64.30907457139757,-38.812354702419704,-15.485852368672688,0.006687384921436509,0.016171652285589113,-191.2433824327257
-73.26322852240668,-63.41112442016602,-38.98015280829536,-15.695263438754612,0.006702966656949785,0.015925356538759337,-191.32714436848957
-72.58744303385417,-63.736151462131076,-38.66805835300022,-15.45029256608751,0.006562630676974853,0.015720657486882474,-190.41965976291232
